"MMWR_week","Recip_State","SumOfSeries_Complete_Yes"
21,"ME",5012389.00
21,"MI",28894984.00
21,"MN",17971980.00
21,"MO",14819620.00
21,"MS",6011594.00
21,"MT",2896943.00
21,"NC",27480383.00
21,"ND",1928786.00
21,"NE",5643573.00
21,"NH",3844517.00
21,"NJ",28909432.00
21,"NM",6899032.00
21,"NV",7772190.00
21,"NY",62523305.00
21,"OH",32341548.00
21,"OK",9486829.00
21,"OR",12859741.00
21,"PA",38030270.00
21,"RI",3745548.00
21,"SC",12099814.00
21,"SD",2609185.00
21,"TN",15625705.00
21,"TX",0.00
21,"UT",7151397.00
21,"VA",26310903.00
21,"VT",2322258.00
21,"WA",23906459.00
21,"WI",17956263.00
21,"WV",4266134.00
21,"WY",1280820.00
22,"AK",2025440.00
22,"AL",10068284.00
22,"AR",6639282.00
22,"AZ",19347875.00
22,"CA",121143016.00
22,"CO",18508821.00
22,"CT",13488461.00
22,"DC",2339814.00
22,"DE",2988383.00
22,"FL",60491156.00
22,"GA",23999564.00
22,"HI",0.00
22,"IA",9745663.00
22,"ID",4179920.00
22,"IL",36335267.00
22,"IN",17773195.00
22,"KS",7910843.00
22,"KY",12222798.00
22,"LA",10384545.00
22,"MA",26194282.00
22,"MD",20543925.00
22,"ME",5190193.00
22,"MI",29695994.00
22,"MN",18515772.00
22,"MO",15119198.00
22,"MS",6124384.00
22,"MT",2946293.00
22,"NC",28069628.00
22,"ND",1957746.00
22,"NE",5770619.00
22,"NH",4607987.00
22,"NJ",29860919.00
22,"NM",7073979.00
22,"NV",8023041.00
22,"NY",64593346.00
22,"OH",33126888.00
22,"OK",9628813.00
22,"OR",13594410.00
22,"PA",39515716.00
22,"RI",3872555.00
22,"SC",12414167.00
22,"SD",2640459.00
22,"TN",15991982.00
22,"TX",0.00
22,"UT",7324470.00
22,"VA",27274451.00
22,"VT",2484592.00
22,"WA",25154372.00
22,"WI",18368354.00
22,"WV",4332237.00
22,"WY",1304944.00
23,"AK",2071046.00
23,"AL",10206700.00
23,"AR",6782109.00
23,"AZ",19915107.00
23,"CA",126003269.00
23,"CO",19145362.00
23,"CT",13976841.00
23,"DC",2399440.00
23,"DE",3091923.00
23,"FL",62651718.00
23,"GA",25154685.00
23,"HI",0.00
23,"IA",9979318.00
23,"ID",4264210.00
23,"IL",37450870.00
23,"IN",18283961.00
23,"KS",8060436.00
23,"KY",12528001.00
23,"LA",10612911.00
23,"MA",27513567.00
23,"MD",21365045.00
23,"ME",5359134.00
23,"MI",30548573.00
23,"MN",19054963.00
23,"MO",15500181.00
23,"MS",6252611.00
23,"MT",3035240.00
23,"NC",28759974.00
23,"ND",1983610.00
23,"NE",5916503.00
23,"NH",4855644.00
23,"NJ",30929399.00
23,"NM",7225128.00
23,"NV",8255202.00
23,"NY",66877496.00
23,"OH",34033607.00
23,"OK",9780713.00
23,"OR",14242042.00
23,"PA",40984251.00
23,"RI",4001224.00
23,"SC",12775857.00
23,"SD",2682503.00
23,"TN",16321118.00
23,"TX",0.00
23,"UT",7569550.00
23,"VA",28286908.00
23,"VT",2611577.00
23,"WA",26314195.00
23,"WI",18857285.00
23,"WV",4432217.00
23,"WY",1330764.00
24,"AK",2118592.00
24,"AL",10693180.00
24,"AR",6951278.00
24,"AZ",20553733.00
24,"CA",131099549.00
24,"CO",19880537.00
24,"CT",14497837.00
24,"DC",2467674.00
24,"DE",3211239.00
24,"FL",65118273.00
24,"GA",25572373.00
24,"HI",0.00
24,"IA",10243582.00
24,"ID",4357918.00
24,"IL",38740847.00
24,"IN",18874113.00
24,"KS",8260761.00
24,"KY",12968437.00
24,"LA",10870066.00
24,"MA",28420248.00
24,"MD",22412854.00
24,"ME",5564259.00
24,"MI",31641521.00
24,"MN",19704142.00
24,"MO",15985527.00
24,"MS",6400044.00
24,"MT",3111887.00
24,"NC",29562843.00
24,"ND",2020033.00
24,"NE",6079926.00
24,"NH",5029267.00
24,"NJ",32373378.00
24,"NM",7502394.00
24,"NV",8558597.00
24,"NY",69711615.00
24,"OH",35098494.00
24,"OK",10155723.00
24,"OR",14945274.00
24,"PA",42560718.00
24,"RI",4169182.00
24,"SC",13167166.00
24,"SD",2737820.00
24,"TN",16808401.00
24,"TX",0.00
24,"UT",7958316.00
24,"VA",29493528.00
24,"VT",2754171.00
24,"WA",27519515.00
24,"WI",19342990.00
24,"WV",4555003.00
24,"WY",1362049.00
25,"AK",2155442.00
25,"AL",11063283.00
25,"AR",7099422.00
25,"AZ",21091306.00
25,"CA",134819437.00
25,"CO",20476514.00
25,"CT",14849433.00
25,"DC",2535053.00
25,"DE",3306350.00
25,"FL",67221238.00
25,"GA",26314192.00
25,"HI",0.00
25,"IA",10453795.00
25,"ID",4437438.00
25,"IL",39856735.00
25,"IN",19340287.00
25,"KS",8415452.00
25,"KY",13312743.00
25,"LA",11091710.00
25,"MA",29210555.00
25,"MD",23009716.00
25,"ME",5694083.00
25,"MI",32415462.00
25,"MN",20161708.00
25,"MO",16494366.00
25,"MS",6534014.00
25,"MT",3168067.00
25,"NC",30208454.00
25,"ND",2048945.00
25,"NE",6268308.00
25,"NH",5157332.00
25,"NJ",33448372.00
25,"NM",7762743.00
25,"NV",8808097.00
25,"NY",71831543.00
25,"OH",35969604.00
25,"OK",10433827.00
25,"OR",15383630.00
25,"PA",43733851.00
25,"RI",4284712.00
25,"SC",13558270.00
25,"SD",2773711.00
25,"TN",17208488.00
25,"TX",0.00
25,"UT",8190520.00
25,"VA",30386106.00
25,"VT",2829121.00
25,"WA",28460043.00
25,"WI",19752187.00
25,"WV",4660863.00
25,"WY",1385222.00
26,"AK",2206931.00
26,"AL",11217515.00
26,"AR",7221176.00
26,"AZ",21725523.00
26,"CA",137954067.00
26,"CO",20916464.00
26,"CT",15139160.00
26,"DC",2584721.00
26,"DE",3409952.00
26,"FL",68850112.00
26,"GA",27028102.00
26,"HI",0.00
26,"IA",10601085.00
26,"ID",4509996.00
26,"IL",40957196.00
26,"IN",19723732.00
26,"KS",8556306.00
26,"KY",13603589.00
26,"LA",11333027.00
26,"MA",29729314.00
26,"MD",23722167.00
26,"ME",5773807.00
26,"MI",32881094.00
26,"MN",20480024.00
26,"MO",16770294.00
26,"MS",6646168.00
26,"MT",3210724.00
26,"NC",30694364.00
26,"ND",2073004.00
26,"NE",6446939.00
26,"NH",5323878.00
26,"NJ",34308920.00
26,"NM",7973384.00
26,"NV",9044242.00
26,"NY",73649086.00
26,"OH",36614127.00
26,"OK",10638107.00
26,"OR",15740159.00
26,"PA",44496728.00
26,"RI",4368360.00
26,"SC",13949532.00
26,"SD",2809151.00
26,"TN",17588333.00
26,"TX",0.00
26,"UT",8354054.00
26,"VA",30978510.00
26,"VT",2866132.00
26,"WA",29080404.00
26,"WI",20219271.00
26,"WV",4734889.00
26,"WY",1411050.00
27,"AK",2262421.00
27,"AL",11348015.00
27,"AR",7319654.00
27,"AZ",22252096.00
27,"CA",140028815.00
27,"CO",21180937.00
27,"CT",15310294.00
27,"DC",2621768.00
27,"DE",3459830.00
27,"FL",70029649.00
27,"GA",27525403.00
27,"HI",0.00
27,"IA",10701923.00
27,"ID",4556496.00
27,"IL",41511422.00
27,"IN",20164470.00
27,"KS",8646945.00
27,"KY",13776700.00
27,"LA",11550572.00
27,"MA",30050350.00
27,"MD",24029563.00
27,"ME",5845766.00
27,"MI",33196075.00
27,"MN",20688204.00
27,"MO",16970856.00
27,"MS",6828843.00
27,"MT",3237981.00
27,"NC",31046357.00
27,"ND",2090269.00
27,"NE",6506828.00
27,"NH",5425540.00
27,"NJ",34782354.00
27,"NM",8118531.00
27,"NV",9182055.00
27,"NY",74730243.00
27,"OH",37017374.00
27,"OK",10758273.00
27,"OR",16051826.00
27,"PA",45085349.00
27,"RI",4413724.00
27,"SC",14125399.00
27,"SD",2834391.00
27,"TN",18038392.00
27,"TX",0.00
27,"UT",8467937.00
27,"VA",31399773.00
27,"VT",2889878.00
27,"WA",29552559.00
27,"WI",20543527.00
27,"WV",4803357.00
27,"WY",1437279.00
28,"AK",2288066.00
28,"AL",11486064.00
28,"AR",7409745.00
28,"AZ",22522024.00
28,"CA",141914941.00
28,"CO",21433165.00
28,"CT",15460574.00
28,"DC",2649118.00
28,"DE",3501424.00
28,"FL",71018793.00
28,"GA",27806131.00
28,"HI",0.00
28,"IA",10782255.00
28,"ID",4597095.00
28,"IL",42002273.00
28,"IN",20383705.00
28,"KS",8722474.00
28,"KY",13925163.00
28,"LA",11691495.00
28,"MA",30302869.00
28,"MD",24308877.00
28,"ME",5891096.00
28,"MI",33561561.00
28,"MN",20860230.00
28,"MO",17151287.00
28,"MS",6990338.00
28,"MT",3263057.00
28,"NC",31375691.00
28,"ND",2105190.00
28,"NE",6566758.00
28,"NH",5466172.00
28,"NJ",35208750.00
28,"NM",8201238.00
28,"NV",9289367.00
28,"NY",75687879.00
28,"OH",37337950.00
28,"OK",10872443.00
28,"OR",16201691.00
28,"PA",45611623.00
28,"RI",4459188.00
28,"SC",14279440.00
28,"SD",2855932.00
28,"TN",18246735.00
28,"TX",0.00
28,"UT",9266148.00
28,"VA",31764225.00
28,"VT",2909029.00
28,"WA",29968110.00
28,"WI",20718692.00
28,"WV",4860092.00
28,"WY",1452467.00
29,"AK",1647549.00
29,"AL",8282239.00
29,"AR",5353809.00
29,"AZ",16230537.00
29,"CA",102443259.00
29,"CO",15438480.00
29,"CT",11129497.00
29,"DC",1907156.00
29,"DE",2525181.00
29,"FL",51395954.00
29,"GA",20109403.00
29,"HI",0.00
29,"IA",7743052.00
29,"ID",3302816.00
29,"IL",30280070.00
29,"IN",14676381.00
29,"KS",6280405.00
29,"KY",10024833.00
29,"LA",8422061.00
29,"MA",21787972.00
29,"MD",17516502.00
29,"ME",4228174.00
29,"MI",24122970.00
29,"MN",14995607.00
29,"MO",12378684.00
29,"MS",5042262.00
29,"MT",2344894.00
29,"NC",22606743.00
29,"ND",1511543.00
29,"NE",4724947.00
29,"NH",3926914.00
29,"NJ",25398245.00
29,"NM",5902775.00
29,"NV",6699028.00
29,"NY",54591365.00
29,"OH",26844695.00
29,"OK",7835045.00
29,"OR",11662077.00
29,"PA",32899494.00
29,"RI",3210464.00
29,"SC",10289229.00
29,"SD",2050545.00
29,"TN",13148214.00
29,"TX",0.00
29,"UT",7043120.00
29,"VA",22906581.00
29,"VT",2091224.00
29,"WA",21605795.00
29,"WI",14900376.00
29,"WV",3481030.00
29,"WY",1044389.00
